concept_name,student_count,total_records,avg_accuracy,avg_hints,avg_attempts
Addition and Subtraction Fractions,1353,1353,0.72,0.61,1.95
Addition and Subtraction Integers,1226,1226,0.75,0.27,2.21
Conversion of Fraction Decimals Percents,1225,1225,0.68,0.62,3.36
Percent Of,1115,1115,0.58,0.78,4.11
Absolute Value,1002,1002,0.79,0.03,1.04
Addition Whole Numbers,988,988,0.78,0.09,1.19
Equation Solving Two or Fewer Steps,961,961,0.65,0.4,2.35
Ordering Positive Decimals,942,942,0.81,0.07,1.23
Probability of a Single Event,939,939,0.79,0.24,1.29
Subtraction Whole Numbers,903,903,0.7,0.1,1.0
Multiplication and Division Integers,900,900,0.84,0.1,1.09
Ordering Fractions,882,882,0.82,0.0,1.02
Median,791,791,0.66,0.34,1.67
Multiplication Fractions,783,783,0.7,0.47,1.75
Finding Percents,771,771,0.5,0.56,1.39
Range,769,769,0.75,0.32,1.52
Proportion,756,756,0.67,0.24,1.35
Addition and Subtraction Positive Decimals,753,753,0.65,0.0,0.97
Division Fractions,724,724,0.73,0.65,3.92
Table,713,713,0.74,0.04,1.01
