student_id,concept_name,total_interactions,correct_count,avg_hints,total_hints,avg_attempts,avg_response_time_ms,wrong_count,accuracy,observed_behavior,memory_note
14,Circle Graph,12,3,1.08,13,0.75,32656.75,9,0.25,repeated_difficulty,Student has repeated difficulty in this concept. Provide simpler explanation and more examples.
14,Equivalent Fractions,6,2,0.5,3,0.5,47747.33,4,0.33,repeated_difficulty,Student has repeated difficulty in this concept. Provide simpler explanation and more examples.
14,Finding Percents,2,0,1.5,3,0.5,24554.5,2,0.0,normal_progress,Student shows normal progress. Continue standard support.
14,Median,4,0,2.5,10,1.0,6697.25,4,0.0,repeated_difficulty,Student has repeated difficulty in this concept. Provide simpler explanation and more examples.
14,Percent Of,6,1,1.67,10,1.0,17566.17,5,0.17,repeated_difficulty,Student has repeated difficulty in this concept. Provide simpler explanation and more examples.
14,Proportion,2,0,0.0,0,0.0,71231.5,2,0.0,normal_progress,Student shows normal progress. Continue standard support.
14,Range,3,3,0.0,0,1.0,11354.67,0,1.0,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
21825,Mean,4,3,0.0,0,1.0,60165.5,1,0.75,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
21825,Median,3,1,0.0,0,0.67,149305.67,2,0.33,repeated_difficulty,Student has repeated difficulty in this concept. Provide simpler explanation and more examples.
21825,Multiplication and Division Integers,10,10,0.0,0,1.0,4332.9,0,1.0,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
21825,Table,7,4,0.0,0,0.86,98368.43,3,0.57,normal_progress,Student shows normal progress. Continue standard support.
51950,Equation Solving More Than Two Steps,2,2,0.0,0,1.0,145525.5,0,1.0,normal_progress,Student shows normal progress. Continue standard support.
51950,Equation Solving Two or Fewer Steps,4,3,0.75,3,2.25,19251.75,1,0.75,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
52613,Addition and Subtraction Positive Decimals,1,0,0.0,0,0.0,5047.0,1,0.0,normal_progress,Student shows normal progress. Continue standard support.
52613,Distributive Property,3,3,0.0,0,1.0,15743.0,0,1.0,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
52613,Exponents,1,1,0.0,0,1.0,5288.0,0,1.0,normal_progress,Student shows normal progress. Continue standard support.
52613,Number Line,1,0,4.0,4,0.0,21668.0,1,0.0,hint_dependent,Student often uses hints in this concept. Provide guided hints before final answers.
52613,Solving Inequalities,1,0,4.0,4,0.0,21668.0,1,0.0,hint_dependent,Student often uses hints in this concept. Provide guided hints before final answers.
53167,Absolute Value,6,5,0.0,0,1.0,9090.5,1,0.83,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
53167,Addition Whole Numbers,12,12,0.0,0,1.0,27564.5,0,1.0,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
53167,Addition and Subtraction Fractions,10,7,0.0,0,1.9,22823.6,3,0.7,normal_progress,Student shows normal progress. Continue standard support.
53167,Addition and Subtraction Integers,9,8,0.11,1,1.22,9569.89,1,0.89,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
53167,Addition and Subtraction Positive Decimals,7,4,0.0,0,1.0,53240.86,3,0.57,normal_progress,Student shows normal progress. Continue standard support.
53167,Area Circle,5,1,0.8,4,2.6,46853.8,4,0.2,repeated_difficulty,Student has repeated difficulty in this concept. Provide simpler explanation and more examples.
53167,Calculations with Similar Figures,9,7,0.11,1,1.33,44412.0,2,0.78,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
53167,Circumference ,6,3,0.5,3,2.67,28438.33,3,0.5,needs_more_attempts,Student needs multiple attempts in this concept. Break tasks into smaller steps.
53167,Complementary and Supplementary Angles,5,3,0.4,2,1.4,12011.6,2,0.6,normal_progress,Student shows normal progress. Continue standard support.
53167,Congruence,2,2,0.0,0,1.0,8084.0,0,1.0,normal_progress,Student shows normal progress. Continue standard support.
53167,Conversion of Fraction Decimals Percents,11,9,0.45,5,1.82,28648.64,2,0.82,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
53167,D.4.8-understanding-concept-of-probabilities,1,1,0.0,0,1.0,56780.0,0,1.0,normal_progress,Student shows normal progress. Continue standard support.
53167,Divisibility Rules,11,7,0.0,0,1.55,18665.73,4,0.64,normal_progress,Student shows normal progress. Continue standard support.
53167,Division Fractions,4,3,0.0,0,1.25,38400.5,1,0.75,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
53167,Equation Solving More Than Two Steps,12,9,0.0,0,1.17,21270.5,3,0.75,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
53167,Equation Solving Two or Fewer Steps,19,10,0.16,3,1.42,41624.58,9,0.53,normal_progress,Student shows normal progress. Continue standard support.
53167,Estimation,3,0,0.0,0,1.0,26483.0,3,0.0,repeated_difficulty,Student has repeated difficulty in this concept. Provide simpler explanation and more examples.
53167,Exponents,2,2,0.0,0,1.0,15510.0,0,1.0,normal_progress,Student shows normal progress. Continue standard support.
53167,Finding Percents,1,0,3.0,3,5.0,176088.0,1,0.0,hint_dependent,Student often uses hints in this concept. Provide guided hints before final answers.
53167,Fraction Of,1,1,0.0,0,1.0,54136.0,0,1.0,normal_progress,Student shows normal progress. Continue standard support.
53167,Least Common Multiple,8,6,0.12,1,1.62,26573.5,2,0.75,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
53167,Mean,1,0,0.0,0,3.0,93552.0,1,0.0,needs_more_attempts,Student needs multiple attempts in this concept. Break tasks into smaller steps.
53167,Median,5,3,0.0,0,4.0,75749.0,2,0.6,needs_more_attempts,Student needs multiple attempts in this concept. Break tasks into smaller steps.
53167,Midpoint,1,0,1.0,1,4.0,64033.0,1,0.0,needs_more_attempts,Student needs multiple attempts in this concept. Break tasks into smaller steps.
53167,Mode,4,4,0.0,0,1.0,16064.5,0,1.0,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
53167,Multiplication Fractions,1,1,0.0,0,1.0,9172.0,0,1.0,normal_progress,Student shows normal progress. Continue standard support.
53167,Multiplication Whole Numbers,3,2,1.33,4,2.33,44645.33,1,0.67,needs_more_attempts,Student needs multiple attempts in this concept. Break tasks into smaller steps.
53167,Multiplication and Division Integers,12,11,0.33,4,1.42,33872.33,1,0.92,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
53167,Multiplication and Division Positive Decimals,4,3,0.0,0,1.25,21562.75,1,0.75,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
53167,Nets of 3D Figures,2,2,0.0,0,1.0,18286.5,0,1.0,normal_progress,Student shows normal progress. Continue standard support.
53167,"Order of Operations +,-,/,* () positive reals",9,4,0.0,0,2.33,23976.89,5,0.44,repeated_difficulty,Student has repeated difficulty in this concept. Provide simpler explanation and more examples.
53167,Order of Operations All,10,5,0.0,0,2.0,24586.0,5,0.5,needs_more_attempts,Student needs multiple attempts in this concept. Break tasks into smaller steps.
53167,Ordering Fractions,8,8,0.0,0,1.0,9363.38,0,1.0,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
53167,Ordering Integers,11,7,0.09,1,1.55,18668.73,4,0.64,normal_progress,Student shows normal progress. Continue standard support.
53167,Ordering Positive Decimals,6,6,0.0,0,1.0,12391.17,0,1.0,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
53167,Ordering Real Numbers,7,3,0.14,1,1.86,24966.43,4,0.43,repeated_difficulty,Student has repeated difficulty in this concept. Provide simpler explanation and more examples.
53167,Pattern Finding ,1,0,1.0,1,4.0,21895.0,1,0.0,needs_more_attempts,Student needs multiple attempts in this concept. Break tasks into smaller steps.
53167,Percent Of,6,4,0.0,0,2.0,56765.5,2,0.67,needs_more_attempts,Student needs multiple attempts in this concept. Break tasks into smaller steps.
53167,Prime Number,1,1,0.0,0,1.0,24502.0,0,1.0,normal_progress,Student shows normal progress. Continue standard support.
53167,Probability of a Single Event,3,3,0.0,0,1.0,27192.0,0,1.0,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
53167,Proportion,8,5,0.62,5,1.5,22939.88,3,0.62,normal_progress,Student shows normal progress. Continue standard support.
53167,Pythagorean Theorem,1,1,0.0,0,1.0,72533.0,0,1.0,normal_progress,Student shows normal progress. Continue standard support.
53167,Range,6,5,0.0,0,1.0,18384.83,1,0.83,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
53167,Rounding,2,2,0.0,0,1.0,5723.0,0,1.0,normal_progress,Student shows normal progress. Continue standard support.
53167,Scatter Plot,5,3,0.2,1,1.6,14483.0,2,0.6,normal_progress,Student shows normal progress. Continue standard support.
53167,Scientific Notation,5,4,0.4,2,2.4,14120.6,1,0.8,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
53167,Solving for a variable,1,1,0.0,0,1.0,22579.0,0,1.0,normal_progress,Student shows normal progress. Continue standard support.
53167,Square Root,16,9,0.06,1,1.38,25044.44,7,0.56,normal_progress,Student shows normal progress. Continue standard support.
53167,Subtraction Whole Numbers,2,1,0.0,0,1.0,5963.5,1,0.5,normal_progress,Student shows normal progress. Continue standard support.
53167,Surface Area Rectangular Prism,4,3,0.0,0,2.25,37294.5,1,0.75,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
53167,Table,16,13,0.0,0,1.0,35575.31,3,0.81,consistent_strength,Student performs strongly in this concept. Provide less guidance or advanced practice.
53167,Unit Conversion Within a System,6,3,0.83,5,2.83,69087.33,3,0.5,needs_more_attempts,Student needs multiple attempts in this concept. Break tasks into smaller steps.
