student_id,total_interactions,total_sessions,total_concepts,overall_accuracy,average_attempts,average_hint_count,total_hint_count,average_response_time_ms,weak_areas,strong_areas,preferred_support_style
14,35,3,7,0.26,0.74,1.11,39,29605.34,"['Circle Graph', 'Equivalent Fractions', 'Median', 'Percent Of']",['Range'],basic_explanation_support
21825,24,4,4,0.75,0.92,0.0,0,59186.96,['Median'],"['Mean', 'Multiplication and Division Integers']",independent_practice
51950,6,2,2,0.83,1.83,0.5,3,61343.0,[],['Equation Solving Two or Fewer Steps'],independent_practice
52613,7,4,5,0.57,0.57,1.14,8,14414.29,[],['Distributive Property'],basic_explanation_support
53167,312,102,53,0.7,1.58,0.16,50,29769.09,"['Area Circle', 'Estimation', 'Order of Operations +,-,/,* () positive reals', 'Ordering Real Numbers']","['Absolute Value', 'Addition Whole Numbers', 'Addition and Subtraction Integers', 'Calculations with Similar Figures', 'Conversion of Fraction Decimals Percents', 'Division Fractions', 'Equation Solving More Than Two Steps', 'Least Common Multiple', 'Mode', 'Multiplication and Division Integers', 'Multiplication and Division Positive Decimals', 'Ordering Fractions', 'Ordering Positive Decimals', 'Probability of a Single Event', 'Range', 'Scientific Notation', 'Surface Area Rectangular Prism', 'Table']",basic_explanation_support
54318,23,1,1,0.83,1.17,0.0,0,16119.57,[],['Equation Solving More Than Two Steps'],independent_practice
58161,10,2,1,0.4,1.3,0.9,9,205701.1,['Equation Solving More Than Two Steps'],[],basic_explanation_support
64525,728,229,78,0.84,1.15,0.06,41,59147.66,[],"['Absolute Value', 'Addition Whole Numbers', 'Addition and Subtraction Fractions', 'Addition and Subtraction Integers', 'Addition and Subtraction Positive Decimals', 'Calculations with Similar Figures', 'Circle Graph', 'Circumference ', 'Congruence', 'Conversion of Fraction Decimals Percents', 'Counting Methods', 'Divisibility Rules', 'Equation Solving More Than Two Steps', 'Equation Solving Two or Fewer Steps', 'Equivalent Fractions', 'Estimation', 'Exponents', 'Histogram as Table or Graph', 'Least Common Multiple', 'Mean', 'Median', 'Mode', 'Multiplication Fractions', 'Multiplication and Division Integers', 'Number Line', 'Order of Operations +,-,/,* () positive reals', 'Order of Operations All', 'Ordering Fractions', 'Ordering Positive Decimals', 'Pattern Finding ', 'Percent Of', 'Probability of Two Distinct Events', 'Probability of a Single Event', 'Proportion', 'Range', 'Rounding', 'Scale Factor', 'Scientific Notation', 'Solving Inequalities', 'Square Root', 'Stem and Leaf Plot', 'Subtraction Whole Numbers', 'Table', 'Unit Conversion Within a System', 'Unit Rate', 'Venn Diagram', 'Volume Cylinder', 'Write Linear Equation from Situation']",independent_practice
64531,17,2,3,1.0,1.0,0.0,0,22096.12,[],"['Absolute Value', 'Addition Whole Numbers']",independent_practice
64532,18,2,3,1.0,1.0,0.0,0,14060.72,[],"['Absolute Value', 'Addition Whole Numbers', 'Subtraction Whole Numbers']",independent_practice
64535,37,2,3,0.78,1.0,0.0,0,21327.95,[],"['Absolute Value', 'Subtraction Whole Numbers']",independent_practice
64550,19,2,3,1.0,1.0,0.0,0,21945.26,[],"['Absolute Value', 'Addition Whole Numbers', 'Subtraction Whole Numbers']",independent_practice
64634,110,22,12,0.6,1.61,0.28,31,49883.67,['Multiplication Fractions'],"['Addition Whole Numbers', 'Addition and Subtraction Positive Decimals', 'Multiplication and Division Integers', 'Ordering Fractions', 'Ordering Integers']",basic_explanation_support
69931,2,2,2,0.5,1.0,0.0,0,5974.5,[],[],basic_explanation_support
70190,21,8,5,0.57,1.05,0.57,12,11580.81,['Solving for a variable'],['Addition and Subtraction Integers'],basic_explanation_support
70363,311,38,29,0.56,1.26,0.4,125,42387.31,"['Equation Solving Two or Fewer Steps', 'Percent Of', 'Solving for a variable', 'Stem and Leaf Plot', 'Venn Diagram', 'Write Linear Equation from Graph', 'Write Linear Equation from Ordered Pairs']","['Addition and Subtraction Positive Decimals', 'Equivalent Fractions', 'Median', 'Probability of a Single Event']",basic_explanation_support
70657,4,1,2,0.0,1.0,0.0,0,43546.5,[],[],basic_explanation_support
70676,50,24,16,0.88,1.1,0.14,7,25631.28,[],"['Absolute Value', 'Addition Whole Numbers', 'Addition and Subtraction Fractions', 'Addition and Subtraction Positive Decimals', 'Conversion of Fraction Decimals Percents', 'Scientific Notation']",independent_practice
70677,283,104,37,0.81,1.12,0.11,32,66970.12,[],"['Addition Whole Numbers', 'Addition and Subtraction Fractions', 'Addition and Subtraction Integers', 'Conversion of Fraction Decimals Percents', 'Estimation', 'Mean', 'Mode', 'Multiplication Fractions', 'Order of Operations +,-,/,* () positive reals', 'Ordering Fractions', 'Ordering Positive Decimals', 'Percent Of', 'Prime Number', 'Range', 'Rounding', 'Scatter Plot', 'Square Root', 'Stem and Leaf Plot', 'Subtraction Whole Numbers', 'Table', 'Venn Diagram']",independent_practice
70679,110,41,27,0.72,1.21,0.08,9,81669.8,"['Addition and Subtraction Integers', 'Addition and Subtraction Positive Decimals', 'Stem and Leaf Plot']","['Addition Whole Numbers', 'Conversion of Fraction Decimals Percents', 'Divisibility Rules', 'Division Fractions', 'Finding Percents', 'Least Common Multiple', 'Median', 'Multiplication and Division Integers', 'Ordering Fractions', 'Ordering Positive Decimals', 'Table']",basic_explanation_support
70682,186,65,30,0.83,1.16,0.04,7,35301.1,[],"['Absolute Value', 'Addition Whole Numbers', 'Addition and Subtraction Fractions', 'Conversion of Fraction Decimals Percents', 'Divisibility Rules', 'Finding Percents', 'Least Common Multiple', 'Multiplication and Division Integers', 'Order of Operations +,-,/,* () positive reals', 'Order of Operations All', 'Ordering Fractions', 'Ordering Integers', 'Ordering Positive Decimals', 'Ordering Real Numbers', 'Proportion', 'Scientific Notation', 'Square Root']",independent_practice
70684,148,55,25,0.8,1.61,0.24,35,58614.0,[],"['Absolute Value', 'Addition Whole Numbers', 'Addition and Subtraction Fractions', 'Addition and Subtraction Integers', 'Addition and Subtraction Positive Decimals', 'Conversion of Fraction Decimals Percents', 'Finding Percents', 'Least Common Multiple', 'Mean', 'Multiplication and Division Integers', 'Ordering Fractions', 'Table']",independent_practice
70687,116,56,29,0.73,1.22,0.38,44,26076.76,[],"['Addition Whole Numbers', 'Addition and Subtraction Positive Decimals', 'Conversion of Fraction Decimals Percents', 'Finding Percents', 'Least Common Multiple', 'Multiplication and Division Integers', 'Ordering Fractions', 'Ordering Positive Decimals', 'Rounding', 'Subtraction Whole Numbers']",basic_explanation_support
70688,199,80,27,0.75,1.3,0.14,28,48143.28,"['Number Line', 'Solving Inequalities', 'Unit Conversion Within a System', 'Write Linear Equation from Graph']","['Absolute Value', 'Addition Whole Numbers', 'Addition and Subtraction Fractions', 'Addition and Subtraction Integers', 'Addition and Subtraction Positive Decimals', 'Conversion of Fraction Decimals Percents', 'Multiplication Fractions', 'Multiplication and Division Integers', 'Ordering Fractions', 'Ordering Positive Decimals', 'Percent Of']",independent_practice
70692,23,17,11,0.83,1.13,0.17,4,22384.7,['Ordering Positive Decimals'],"['Addition and Subtraction Integers', 'Multiplication and Division Integers']",independent_practice
70693,105,36,16,0.56,1.79,0.15,16,45562.6,"['Addition and Subtraction Integers', 'Ordering Integers', 'Ordering Real Numbers', 'Square Root']","['Absolute Value', 'Addition and Subtraction Fractions', 'Addition and Subtraction Positive Decimals', 'Multiplication and Division Integers', 'Ordering Fractions', 'Ordering Positive Decimals', 'Subtraction Whole Numbers']",basic_explanation_support
70695,311,112,41,0.72,2.21,0.17,54,58870.66,"['Mean', 'Percent Of', 'Rounding']","['Absolute Value', 'Addition Whole Numbers', 'Addition and Subtraction Fractions', 'Addition and Subtraction Integers', 'Addition and Subtraction Positive Decimals', 'Divisibility Rules', 'Exponents', 'Finding Percents', 'Median', 'Multiplication Fractions', 'Multiplication and Division Integers', 'Ordering Integers', 'Ordering Positive Decimals', 'Range', 'Table', 'Venn Diagram']",step_by_step_support
70699,223,61,37,0.59,1.34,0.41,91,97605.07,"['Addition and Subtraction Positive Decimals', 'Circle Graph', 'Mean', 'Order of Operations All', 'Ordering Positive Decimals', 'Percent Of', 'Pythagorean Theorem', 'Unit Conversion Within a System']","['Absolute Value', 'Addition Whole Numbers', 'Conversion of Fraction Decimals Percents', 'Mode', 'Multiplication and Division Integers', 'Ordering Integers', 'Range', 'Scientific Notation', 'Venn Diagram']",basic_explanation_support
70701,245,64,40,0.72,1.27,0.19,46,43542.64,['Addition and Subtraction Integers'],"['Conversion of Fraction Decimals Percents', 'Divisibility Rules', 'Least Common Multiple', 'Ordering Fractions', 'Ordering Positive Decimals', 'Proportion', 'Range', 'Scatter Plot', 'Subtraction Whole Numbers', 'Table', 'Unit Conversion Within a System', 'Venn Diagram']",basic_explanation_support
70702,502,151,44,0.77,1.28,0.22,112,29243.72,['Rotations'],"['Absolute Value', 'Addition Whole Numbers', 'Addition and Subtraction Fractions', 'Addition and Subtraction Integers', 'Addition and Subtraction Positive Decimals', 'Calculations with Similar Figures', 'Conversion of Fraction Decimals Percents', 'Estimation', 'Exponents', 'Finding Percents', 'Multiplication and Division Integers', 'Order of Operations +,-,/,* () positive reals', 'Ordering Fractions', 'Ordering Positive Decimals', 'Percent Of', 'Proportion', 'Rounding', 'Scale Factor', 'Scientific Notation', 'Subtraction Whole Numbers', 'Unit Conversion Within a System']",independent_practice
70704,348,125,33,0.83,1.24,0.15,52,27497.43,[],"['Absolute Value', 'Addition Whole Numbers', 'Addition and Subtraction Fractions', 'Addition and Subtraction Integers', 'Addition and Subtraction Positive Decimals', 'Conversion of Fraction Decimals Percents', 'Division Fractions', 'Estimation', 'Exponents', 'Multiplication Fractions', 'Multiplication and Division Integers', 'Order of Operations +,-,/,* () positive reals', 'Order of Operations All', 'Ordering Fractions', 'Ordering Integers', 'Ordering Positive Decimals', 'Percent Of', 'Proportion', 'Scale Factor', 'Scientific Notation', 'Square Root', 'Subtraction Whole Numbers']",independent_practice
70706,177,76,35,0.91,1.18,0.11,19,30784.25,[],"['Addition Whole Numbers', 'Addition and Subtraction Fractions', 'Addition and Subtraction Integers', 'Addition and Subtraction Positive Decimals', 'Conversion of Fraction Decimals Percents', 'Divisibility Rules', 'Division Fractions', 'Estimation', 'Finding Percents', 'Least Common Multiple', 'Multiplication Fractions', 'Multiplication and Division Integers', 'Ordering Fractions', 'Ordering Integers', 'Ordering Positive Decimals', 'Ordering Real Numbers', 'Percent Of', 'Prime Number', 'Proportion', 'Scientific Notation', 'Square Root', 'Unit Conversion Within a System']",independent_practice
70707,702,253,77,0.78,1.22,0.2,137,50369.6,"['Circumference ', 'Subtraction Whole Numbers', 'Volume Sphere', 'Write Linear Equation from Graph']","['Absolute Value', 'Addition Whole Numbers', 'Addition and Subtraction Fractions', 'Addition and Subtraction Integers', 'Addition and Subtraction Positive Decimals', 'Calculations with Similar Figures', 'Circle Graph', 'Complementary and Supplementary Angles', 'Congruence', 'Conversion of Fraction Decimals Percents', 'D.4.8-understanding-concept-of-probabilities', 'Effect of Changing Dimensions of a Shape Prportionally', 'Equivalent Fractions', 'Estimation', 'Exponents', 'Interior Angles Figures with More than 3 Sides', 'Mean', 'Mode', 'Multiplication Fractions', 'Multiplication and Division Integers', 'Order of Operations +,-,/,* () positive reals', 'Ordering Fractions', 'Ordering Integers', 'Ordering Positive Decimals', 'Ordering Real Numbers', 'Percent Of', 'Prime Number', 'Probability of a Single Event', 'Proportion', 'Rounding', 'Scale Factor', 'Scatter Plot', 'Scientific Notation', 'Solving for a variable', 'Square Root', 'Stem and Leaf Plot', 'Table', 'Venn Diagram']",independent_practice
70708,484,131,48,0.73,1.25,0.18,87,29853.31,"['Pythagorean Theorem', 'Unit Rate']","['Absolute Value', 'Addition Whole Numbers', 'Addition and Subtraction Fractions', 'Addition and Subtraction Integers', 'Addition and Subtraction Positive Decimals', 'Conversion of Fraction Decimals Percents', 'Divisibility Rules', 'Interior Angles Triangle', 'Multiplication Fractions', 'Multiplication and Division Integers', 'Number Line', 'Order of Operations +,-,/,* () positive reals', 'Order of Operations All', 'Ordering Fractions', 'Ordering Integers', 'Ordering Positive Decimals', 'Proportion', 'Rounding', 'Scientific Notation', 'Solving Inequalities']",basic_explanation_support
70709,81,43,23,0.85,1.12,0.0,0,32213.8,[],"['Addition Whole Numbers', 'Addition and Subtraction Fractions', 'Addition and Subtraction Integers', 'Addition and Subtraction Positive Decimals', 'Conversion of Fraction Decimals Percents', 'Exponents', 'Mode', 'Multiplication and Division Integers', 'Table']",independent_practice
70727,749,195,66,0.77,1.26,0.17,127,25641.81,"['Probability of Two Distinct Events', 'Rotations', 'Translations', 'Write Linear Equation from Graph']","['Absolute Value', 'Addition Whole Numbers', 'Addition and Subtraction Fractions', 'Addition and Subtraction Integers', 'Addition and Subtraction Positive Decimals', 'Calculations with Similar Figures', 'Circle Graph', 'Circumference ', 'Complementary and Supplementary Angles', 'Congruence', 'Conversion of Fraction Decimals Percents', 'Division Fractions', 'Equation Solving More Than Two Steps', 'Equation Solving Two or Fewer Steps', 'Equivalent Fractions', 'Estimation', 'Exponents', 'Finding Percents', 'Median', 'Multiplication Fractions', 'Multiplication and Division Integers', 'Multiplication and Division Positive Decimals', 'Ordering Fractions', 'Ordering Integers', 'Ordering Positive Decimals', 'Pattern Finding ', 'Percent Of', 'Prime Number', 'Probability of a Single Event', 'Proportion', 'Rounding', 'Scatter Plot', 'Scientific Notation', 'Solving for a variable', 'Square Root', 'Subtraction Whole Numbers', 'Table', 'Unit Conversion Within a System', 'Unit Rate', 'Venn Diagram']",independent_practice
70728,155,67,36,0.75,1.27,0.14,21,40093.1,"['Least Common Multiple', 'Proportion']","['Addition Whole Numbers', 'Addition and Subtraction Fractions', 'Conversion of Fraction Decimals Percents', 'Finding Percents', 'Multiplication Fractions', 'Multiplication and Division Integers', 'Ordering Fractions', 'Ordering Integers', 'Ordering Positive Decimals', 'Ordering Real Numbers', 'Percent Of', 'Square Root', 'Table']",independent_practice
70729,738,176,65,0.58,1.61,0.6,445,27977.33,"['Area Irregular Figure', 'Finding Percents', 'Interior Angles Figures with More than 3 Sides', 'Median', 'Ordering Integers', 'Ordering Real Numbers', 'Square Root', 'Unit Conversion Within a System', 'Unit Rate']","['Absolute Value', 'Addition Whole Numbers', 'Addition and Subtraction Integers', 'Circumference ', 'D.4.8-understanding-concept-of-probabilities', 'Equation Solving More Than Two Steps', 'Equation Solving Two or Fewer Steps', 'Interior Angles Triangle', 'Mode', 'Order of Operations +,-,/,* () positive reals', 'Ordering Positive Decimals', 'Perimeter of a Polygon', 'Range', 'Rounding', 'Scatter Plot', 'Table']",basic_explanation_support
70730,510,144,46,0.74,1.32,0.31,159,35537.31,"['Number Line', 'Solving Inequalities']","['Absolute Value', 'Addition Whole Numbers', 'Addition and Subtraction Integers', 'Addition and Subtraction Positive Decimals', 'Conversion of Fraction Decimals Percents', 'Estimation', 'Exponents', 'Mode', 'Multiplication Fractions', 'Multiplication and Division Integers', 'Order of Operations +,-,/,* () positive reals', 'Ordering Fractions', 'Ordering Integers', 'Ordering Positive Decimals', 'Ordering Real Numbers', 'Percent Of', 'Proportion', 'Scientific Notation', 'Table']",basic_explanation_support
70731,317,98,34,0.73,1.36,0.19,61,38175.96,['Addition and Subtraction Positive Decimals'],"['Addition Whole Numbers', 'Addition and Subtraction Integers', 'Conversion of Fraction Decimals Percents', 'Division Fractions', 'Multiplication and Division Integers', 'Ordering Fractions', 'Ordering Integers', 'Ordering Positive Decimals', 'Percent Of', 'Prime Number', 'Rounding', 'Scale Factor', 'Scientific Notation']",basic_explanation_support
70732,383,124,56,0.61,1.64,0.49,188,24403.83,"['Absolute Value', 'Addition and Subtraction Positive Decimals', 'Area Trapezoid', 'Calculations with Similar Figures', 'Circumference ', 'Least Common Multiple', 'Multiplication Whole Numbers', 'Number Line', 'Percent Of', 'Pythagorean Theorem', 'Rounding', 'Scale Factor', 'Solving Inequalities', 'Subtraction Whole Numbers', 'Unit Rate']","['Addition Whole Numbers', 'Addition and Subtraction Fractions', 'Area Rectangle', 'Congruence', 'Divisibility Rules', 'Finding Percents', 'Multiplication Fractions', 'Multiplication and Division Integers', 'Multiplication and Division Positive Decimals', 'Order of Operations All', 'Ordering Fractions', 'Ordering Positive Decimals', 'Proportion', 'Range', 'Table']",basic_explanation_support
70733,734,194,62,0.73,1.45,0.13,98,23096.31,"['Circle Graph', 'Counting Methods', 'Equivalent Fractions', 'Probability of Two Distinct Events', 'Pythagorean Theorem', 'Solving for a variable', 'Write Linear Equation from Graph']","['Addition Whole Numbers', 'Addition and Subtraction Fractions', 'Addition and Subtraction Positive Decimals', 'Complementary and Supplementary Angles', 'Congruence', 'Conversion of Fraction Decimals Percents', 'Divisibility Rules', 'Division Fractions', 'Estimation', 'Exponents', 'Least Common Multiple', 'Median', 'Multiplication Fractions', 'Multiplication and Division Integers', 'Order of Operations +,-,/,* () positive reals', 'Ordering Fractions', 'Ordering Positive Decimals', 'Pattern Finding ', 'Probability of a Single Event', 'Proportion', 'Range', 'Rounding', 'Scientific Notation', 'Square Root', 'Subtraction Whole Numbers', 'Table', 'Unit Conversion Within a System', 'Venn Diagram', 'Write Linear Equation from Situation']",basic_explanation_support
70734,94,38,22,0.74,3.98,0.65,61,19494.0,['Surface Area Rectangular Prism'],"['Addition Whole Numbers', 'Addition and Subtraction Fractions', 'Addition and Subtraction Integers', 'Multiplication and Division Integers', 'Ordering Integers', 'Solving for a variable', 'Table']",step_by_step_support
70736,309,99,50,0.66,1.46,0.37,115,77770.65,"['Calculations with Similar Figures', 'Circle Graph', 'Equation Solving Two or Fewer Steps', 'Number Line', 'Ordering Integers', 'Ordering Real Numbers', 'Pythagorean Theorem', 'Solving Inequalities']","['Absolute Value', 'Addition Whole Numbers', 'Congruence', 'D.4.8-understanding-concept-of-probabilities', 'Median', 'Multiplication Fractions', 'Multiplication and Division Integers', 'Order of Operations All', 'Ordering Fractions', 'Ordering Positive Decimals', 'Proportion', 'Scale Factor']",basic_explanation_support
